Gene name,Chromosome/scaffold name,Gene start (bp)
RAD17,5,68665120
PEBP1P1,14,96890037
Y_RNA,4,146070689
RP11-571M6.17,12,58197621
TMTC1,12,29653773
RPS23P4,4,146190962
HMGB1,13,31032884
RPL23AP10,14,96922913
AC016716.1,2,80389554
RNU6-1083P,12,58199937
RP11-142A22.4,4,146256415
CTC-325J23.3,5,79904442
RP11-872J21.3,14,96967147
AL441883.1,6,13615728
AC016670.1,2,80471748
RTN3P1,4,146296695
RP11-867O8.5,11,65134909
SMARCE1P1,11,107274130
CTD-2355J17.2,11,107456627
RP11-433J8.1,14,97059070
NMNAT1P4,4,146377157
AC008067.2,2,80802238
AP000889.2,11,107471105
RP11-54C4.1,5,151145420
NEAT1,11,65190245
SMAD1-AS2,4,146418225
VWA9,15,65871091
RP11-571M6.18,12,58208277
AP000889.1,11,107513613
ESR1,6,151977826
SNORA22,7,65220513
VN1R90P,19,23471422
snoU13,16,82487925
GOLGA8T,15,30427352
SMAD1-AS1,4,146435767
MIR26A2,12,58218392
SNORA15,7,65225039
VARSL,HSCHR6_MHC_DBB,30866734
RP11-54C4.2,5,151228447
RP11-481E4.2,16,82529598
RN7SL133P,12,123500727
ACSM4,12,7456880
RP11-557J10.5,4,146520261
VN1R91P,19,23473651
RP11-479O9.2,7,65238607
SIGLEC20P,19,51688161
CTC-325J23.2,5,79926132
RNA5SP198,5,151255127
RP11-197N18.7,12,123565931
CTD-2651C21.3,11,107606735
ATM,11,108093211
RP11-557J10.3,4,146545311
CTB-176F20.3,19,23506770
RP11-241J12.3,5,80042158
ATPAF1,1,47098409
ZC2HC1B,6,144185573
RP11-2L4.1,16,82587654
LY6K,8,143781529
CTB-175P5.1,19,23563119
RP11-557J10.4,4,146563488
MALAT1,11,65265233
CTB-12O2.1,5,151329132
RP11-832N8.1,11,107779146
CYP26C1,10,94821021
RP11-22H5.2,16,82806924
RP11-181K12.2,4,146754270
RP11-241J12.1,5,80151326
CTB-175P5.2,19,23567332
Y_RNA,4,146879280
RP11-282O18.3,12,123736577
Y_RNA,11,107955640
AC099506.1,16,82875691
RP11-203B7.2,4,146973756
RP11-144G7.2,11,107975801
AP000769.7,11,65265481
RNU6-912P,7,65279659
RN7SL134P,16,82878060
CTD-3187F8.7,19,51697374
CTC-459I6.1,5,80243516
RP11-203B7.1,4,146998998
RP13-254B10.1,7,65305199
CTD-3253I12.1,16,82986835
SNRPGP19,11,65281874
CTB-175P5.4,19,23582035
Y_RNA,11,108100230
SSSCA1-AS1,11,65337131
SIGLEC21P,19,51702111
POLI,18,51795774
AP005718.1,11,108340182
RP11-543N12.1,16,83416612
AC084193.1,2,80926513
RPS2P39,11,108561016
LINC01095,4,147030607
MIR4690,11,65403781
SMCR8,17,18218624
PRODH,22,18900294
RP11-801G16.2,11,108598468
MIR4489,11,65416663
AC009142.1,16,83434148
RANBP9,6,13621730
CCL3L3,17,34522268
MIR3182,16,83541951
CTD-2193P3.1,5,80293002
SIGLEC22P,19,51714336
RN7SL309P,11,65463006
GUCY2D,17,7905912
RP11-298D21.3,16,83743784
KRT8P26,11,65494410
RP11-395L14.5,2,114299514
SERBP1P1,X,68003315
VN1R92P,19,23627064
GPM6BP2,Y,20903729
AC105342.1,2,81421461
HMGN4,6,26538633
AL360154.1,GL000192.1,180636
ZNF725P,19,23675230
CYCSP29,11,108693060
USP9YP2,Y,20938165
RP1-170O19.22,7,27168588
PPDPF,20,62152077
HMGN1P35,X,68393967
RP11-770G2.2,11,65513200
CTD-2193P3.2,5,80409204
ART1,11,3666358
AP001266.1,11,65545092
SCMH1,1,41492872
LINC00269,X,68399400
FAM138B,2,114334959
AP003027.1,11,108828445
CTD-3187F8.2,19,51754485
HSCB,22,29138019
RP11-282O18.7,12,123746607
CYCSP43,X,68705186
AC097372.1,4,147043356
CTNND2,5,10971952
RP11-359H18.2,19,23778924
OFD1,X,13752832
CKMT2-AS1,5,80499903
HOXA-AS3,7,27169596
MTRNR2L8,11,10529434
RP11-6L6.7,4,147162958
RP11-25I9.2,11,108873192
TCEB1P14,Y,20949636
RP11-244B22.6,16,34430150
CTD-3187F8.11,19,51774520
RNU6-654P,11,108876244
RNU1-44P,4,147501200
RN7SL359P,2,233514559
AL158069.1,X,68724548
RNA5SP375,12,123767463
RP11-244B22.5,16,34442274
RNA5SP349,11,108991605
AC093887.1,4,147560413
snoU13,2,233543673
RP13-57D9.3,X,68789512
RP11-282O18.6,12,123773656
AC109135.1,GL000192.1,222730
RP11-292D4.2,4,147855153
SNORD39,11,109134221
AC064852.5,2,233594233
SPN,16,29674300
CTD-3187F8.12,19,51784116
RPS27P29,19,23780143
5S_rRNA,X,68892323
RP11-708B6.2,11,109225812
PRYP6,Y,20952595
RP11-292D4.1,4,147878590
AC064852.4,2,233624856
U3,X,68912800
CNOT7P1,X,69157016
CTD-2616J11.16,19,51843949
RNF141,11,10533225
VN1R93P,19,23785369
RNU6-107P,2,233647375
OVOL1-AS1,11,65556522
RP11-10A7.1,11,109357694
PGGT1BP2,10,81651904
MIR676,X,69242707
IGKV1OR2-108,2,114163973
NFE2,12,54685895
RP11-298D21.1,16,83754724
RP11-292D4.3,4,147926644
Y_RNA,2,233693363
CHRFAM7A,15,30653443
RN7SL32P,2,234113845
RP11-351K23.3,X,69340203
CTD-2616J11.9,19,51848423
MIR548G,4,148265781
SCARNA5,2,234184373
MBL1P,10,81664654
RP11-364M6.1,4,148347126
RP11-386B1.1,11,109508194
CTD-2616J11.10,19,51864966
SCARNA6,2,234197322
RP11-255H23.2,19,23945746
UPRT,X,74493920
RP11-752L20.1,4,148379876
ACPL2,3,140947568
CYP26A1,10,94833232
RP11-400N9.1,2,234259778
CTD-2616J11.14,19,51897742
XKRYP2,Y,20973224
AC019221.4,2,234263220
METTL8,2,172173919
GTF2F2P1,4,148427243
Y_RNA,12,123833546
NIFKP6,19,51900009
MTND4P31,X,69344822
RP11-262A12.1,11,109622168
RP11-770G2.5,11,65563417
RNU6-973P,7,65324647
hsa-mir-8072,12,123848415
Y_RNA,2,234288489
AC012075.1,2,81645847
RP1-170O19.23,7,27186985
RP11-752L20.5,4,148488758
RP11-252P18.1,7,65469004
RP11-289A15.1,2,234454128
RP11-1167A19.6,11,65751150
PSG2,19,43568363
RP5-1132H15.3,7,65490113
AC012075.2,2,81689819
TFAMP2,11,109777730
RP11-425A23.1,4,148530703
snoU13,11,65820615
AC073464.4,2,95400400
USP9YP10,Y,20987993
QPRT,16,29674600
snoU13,11,65920092
RNA5SP165,4,148666454
UGT1A12P,2,234494085
MIR1302-3,2,114340536
RNA5SP99,2,81723338
MIR4799,4,148703746
RP11-755F10.1,11,66012311
RNU6-1104P,7,100913219
CTD-2616J11.3,19,51917552
AC013262.1,2,81893601
RP11-361A21.1,11,109852918
AC068533.1,7,65521221
GSKIP,14,96829814
RN7SL254P,4,148730077
AZGP1P2,7,100930763
RP11-755F10.3,11,66027038
RP5-1132H15.2,7,65535891
CTD-2616J11.2,19,51918978
RP11-315D13.1,4,148837680
RN7SL201P,2,82194203
RP11-76G10.1,4,149067622
RP11-867G23.1,11,66032248
AC079896.1,2,82210396
UGT1A11P,2,234512199
RP5-1132H15.1,7,65584590
RP11-361A21.3,11,109855969
RP11-972P1.8,12,123926064
UBXN2A,2,24150155
RP11-132A1.3,7,100942894
CTD-2151A2.1,5,98885136
RP11-867G23.2,11,66035106
RP11-655B23.1,4,149447645
CTD-2616J11.15,19,51929601
RNU6-313P,7,65809291
CTD-3065J16.9,8,145132905
RP11-479O17.10,10,81727969
GLYATL1,11,58672871
RP11-132A1.4,7,100951627
AC105761.1,2,82495551
CTD-2151A2.2,5,98930033
TSSK5P1,8,145196117
RNA5SP166,4,149479099
ZNRF2P3,10,81741595
RP11-867G23.3,11,66037303
RP5-1106H14.1,7,101032149
U6atac,GL000192.1,91796
LINC00174,7,65841031
CD163L1,12,7499281
SNORD112,GL000192.1,107278
RP11-503L19.1,4,149614184
RP11-479O17.7,10,81742666
AL360154.2,GL000192.1,112237
RNU6-685P,2,82495736
CTD-3073N11.5,19,51945633
PTK6,20,62159778
WASH2P,2,114341664
5S_rRNA,GL000192.1,415332
UGT1A13P,2,234556572
LINC01007,7,101206059
RP11-499O7.7,HG871_PATCH,5037680
AC104592.1,8,145210801
Y_RNA,2,82534191
RP11-867G23.4,11,66044250
SIGLEC26P,19,51971614
ATP5LP4,4,149624678
U1,GL000192.1,544948
CNN2P8,2,95403082
LINC00999,10,38717074
AC110280.1,8,145456008
AC010105.1,2,82706252
CTD-3073N11.7,19,52008313
ETNPPL,4,109663196
AC005549.2,17,32510103
RP11-867G23.13,11,66080324
CTD-2248H3.1,5,80538149
RP11-521P1.1,17,32658881
CTB-191D16.1,4,149862093
RP11-16B13.1,14,60435834
STARD3,17,37793318
SIGLEC27P,19,52011827
RP11-867G23.12,11,66101965
AC011193.1,17,32806331
AC109638.1,2,82836776
TSPO2,6,41010293
RP11-867G23.9,11,66157080
CTD-2151A2.3,5,98930584
SCOCP1,14,60625694
AC114812.8,2,234602080
RNU1-84P,11,66160920
CTD-3232M19.2,8,145462709
RP11-499O7.4,HG871_PATCH,5091004
RP11-212E8.1,17,33052528
CTD-2249K22.1,5,81147420
RAF1,3,12625100
RPL17P11,2,234630168
RNU7-197P,4,149912724
RP11-255H23.3,19,23981726
RP11-867G23.10,11,66176629
AC073464.6,2,95416327
RP11-563M4.1,4,149948597
AC092964.2,3,172019438
RP11-642M2.1,17,33164890
RP11-255H23.4,19,24000401
SHFM1P1,5,81188309
RP11-342A1.1,4,150068954
AC092964.1,3,172034218
C1orf54,1,150240600
ZNF16,8,146155744
RP5-837J1.2,17,33332107
AKR1C5P,HG871_PATCH,5164279
MTND4P25,2,83042108
CTB-92J24.3,19,24101883
RP11-298D21.2,16,83759281
AL022344.5,10,43191483
Y_RNA,4,88333380
RP11-24I21.1,4,150075447
CTA-339C12.1,7,101465527
CTD-2160D9.1,5,99283999
AC114969.1,5,81274069
RP11-710E1.2,4,88381959
AC114812.9,2,234647598
snoU13,17,33381407
RP11-483P21.2,16,83823572
C16orf54,16,29753784
MTND5P27,2,83042933
SMIM6,17,73642323
RP5-837J1.4,17,33400850
CYP4F32P,2,95425004
RP11-742B18.1,4,88489187
ATG10-IT1,5,81287814
RP5-837J1.1,17,33403756
GHSR,3,172162923
DNAJB3,2,234651396
SLC1A5,19,47278140
PPIAP11,5,81305421
CCDC117,22,29168662
MTND6P7,2,83044662
TRGJ1,7,38309092
EIF2B3,1,45316450
RP11-526A4.1,4,150273169
GRINA,HG104_HG975_PATCH,145072253
ATG10-AS1,5,81368874
TRGJP,7,38313188
AC098817.3,2,83045255
ABT1,6,26597180
FOXP3,X,49106897
RP1-170O19.21,7,27197963
TRGJP1,7,38315860
C5orf63,5,126378250
CHRNA10,11,3686817
Y_RNA,4,88665104
CCL4L1,17,34538310
CTD-3073N11.9,19,52022985
RNU6-840P,17,33420928
snoU13,4,88689637
TRGV11,7,38331217
Vault,17,33424579
RN7SL378P,5,81374246
SIGLEC28P,19,52063375
KDM4A,1,44115829
CHCHD2P7,4,88707072
RP11-799D4.3,17,33491262
HOXA10-AS,7,27208238
RPS23P5,5,81560976
UGT1A2P,2,234655860
BNIP3,10,133781578
ZG16,16,29789561
TRGV10,7,38339412
RP11-799D4.2,17,33515541
BRMS1,11,66104804
NUDT22,11,63993413
HSP90AB3P,4,88812995
SIGLEC29P,19,52067050
AC098817.5,2,83083927
CTB-181H17.1,7,101603396
EEF1A1P20,5,99332251
DSTYK,1,205111632
RP11-799D4.1,17,33517980
STARD6,18,51850728
CTA-357J21.1,7,101676303
TRGV9,7,38356618
RNU1-36P,4,88921389
AC018755.16,19,52097814
SHMT1,17,18231187
VENTXP4,3,26388172
AC005086.1,7,101804400
RP11-147K6.1,4,89084731
LSP1,11,1874200
AC114812.10,2,234659263
RP11-799D4.4,17,33558469
CTD-2015A6.1,5,81841681
MIR196B,7,27209099
RNU6-818P,4,89122855
AC005086.3,7,101805576
RNU6ATAC31P,4,89127579
AC099754.1,3,26660821
TRGV8,7,38369944
AC138623.1,2,83446014
RP11-147K6.2,4,89141721
HOXA11-AS,7,27224137
AC005086.2,7,101830099
RP11-47L3.1,17,33640521
RP11-707F2.1,4,150587209
RNU6-1298P,4,89147881
AC114812.5,2,234662951
ALOX15B,17,7942335
CTD-2015A6.2,5,81882595
AC114877.3,3,26753798
RNU6-112P,4,89196357
TRGV5,7,38388956
FAM126B,2,201838441
RP11-707F2.2,4,150711104
RP11-686D22.2,17,33671250
Y_RNA,5,99357508
RP11-10L7.1,4,89206094
CTD-2218K11.2,5,82061223
AC114877.1,3,26795428
AC010744.1,2,83749938
EFCAB14,1,47124366
RNA5SP167,4,150828712
PFDN6,6,33257079
Y_RNA,4,89251328
TRGV4,7,38393316
RNU6-1230P,4,150855528
AC073464.7,2,95426519
AC083829.1,4,89415084
RP11-423J7.1,4,150877360
RPL5P16,5,82073616
RP11-466G12.3,4,89429742
RP11-620J15.1,12,58230875
B3GNT2,2,62423248
RSU1P1,10,43221305
RNU7-194P,4,151130858
RPL37P10,2,83822080
TRGV3,7,38398113
RP11-620J15.2,12,58263618
RP11-466G12.2,4,89448311
RP11-174F8.1,4,151343797
PPP2R5B,11,64685025
RP11-3K24.2,17,58393195
TNFSF10,3,172223298
RP11-483P21.3,16,83831266
AP001652.1,11,58672897
RN7SKP244,4,89504817
SFXN5,2,73169165
TP53RK,20,45313004
RPL12P38,17,58511039
RP11-483P21.6,16,83963401
RNU6-33P,4,89605999
RP11-620J15.3,12,58325311
RP11-475J5.7,5,99381632
TRGV2,7,38402465
FAM13A-AS1,4,89630940
RNA5SP432,16,84073523
RP11-719K4.6,16,14828542
TRGV1,7,38407187
RP11-475J5.11,5,99382154
RP11-505K9.1,16,84150656
RP11-1336O20.2,4,151500241
RP11-680G24.1,16,14860259
RP11-505K9.3,16,84152898
DUXAP3,10,43242992
AC110813.1,4,151560908
GS1-393G12.12,8,145538253
MINOS1P3,3,27256307
JAKMIP3,10,133918175
AL022344.7,10,43246626
ZBTB8OSP1,4,151642133
SNX18P14,2,95452433
AKR1CL1,HG871_PATCH,5196335
RP11-84C13.1,4,90032651
CTRL,16,67961543
ABCC6P2,16,14914649
snoU13,10,43305675
MIR939,8,145619364
RNU6-885P,10,43327895
FAM111B,11,58874658
MTND5P10,5,99382681
RP11-15E18.5,17,58590551
RNA5SP168,4,151891823
RP11-124O11.1,10,43366969
MIR1234,8,145625476
CYFIP2,5,156693089
RP11-719K4.7,16,14956237
AK4P6,4,151948242
CBWD2,2,114195268
RP11-15E18.1,17,58603654
GS1-393G12.14,8,145634876
RP11-124O11.2,10,43474465
MIR3179-1,16,14995356
SNORD73,4,152023209
RP11-84C13.2,4,90040435
AC084125.4,8,145660602
AK1,9,130628759
AL353583.1,10,24770273
Y_RNA,11,24477457
RP11-15E18.3,17,58639371
SNORD73A,4,152024979
MIR5100,10,43493011
C18orf54,18,51884287
CTC-830E23.1,11,24722821
RNU6-907P,4,90052003
AC073464.11,2,95461553
RP11-15E18.2,17,58642101
RP11-372K14.2,4,152061143
MIR3670-1,16,15001574
RP11-351D16.3,10,43632272
RP11-445P17.6,HG871_PATCH,5249361
RP11-54J7.2,11,25162079
RP11-475J5.6,5,99384692
LIFR,5,38475065
MIR3180-1,16,15003744
EZR,6,159186773
SUMF1,3,3742498
CTD-2517M22.16,8,145689200
EDAR,2,109510927
RP11-168L22.2,10,43819113
RP11-731D1.1,4,152180655
hsa-mir-3180-3,16,15005077
RP11-115D19.1,4,90472507
RNA5SP272,8,89408666
AC015820.1,11,25558824
RP11-731D1.3,4,152200182
RP11-69I13.1,8,89497339
RPL36AP40,11,25610021
CTD-2517M22.14,8,145721001
RNU6-1282P,4,152221670
PCCB,3,135969148
RP11-731D1.4,4,152254927
RP11-958N24.1,16,15005408
RP11-610P16.1,4,152328703
CTB-92J24.2,19,24110590
PPP1R11,HSCHR6_MHC_QBL,30024068
ZNF92P3,19,24118022
RP11-46P12.1,11,25652266
USPL1,13,31191830
AC097455.1,4,152486875
RN7SKP35,4,152497918
RP11-164P12.4,4,152588376
RNA5-8SP4,19,24187160
RP11-405K6.1,11,25756317
ANKRD20A8P,2,95476791
RP11-642C5.1,8,89820547
RP11-255L13.1,8,90255630
CTD-2017D11.1,19,24216247
CTD-2517M14.5,8,145721763
RP11-164P12.3,4,152595635
HLA-DMB,HSCHR6_MHC_DBB,32880346
PSG5,19,43670408
CTD-2517M22.17,8,145737950
CHST15,10,125767184
RP11-20J1.1,11,25945735
HK1,10,71029740
KRT8P4,8,90424850
RP11-424M21.1,4,152720652
AC084125.1,8,145774891
FRMPD2,10,49364601
AC084125.2,8,145784429
RP11-336F14.1,11,26067534
CTD-2017D11.3,19,24281227
RP11-67M1.1,4,90757559
RP11-503L23.1,4,152808695
AC084125.3,8,145792691
HAVCR1P1,19,24345172
RP11-73G16.3,4,152826084
SLC2A10,20,45338126
KIF22,16,29802040
CTB-151G24.1,19,28129391
CTD-2507G9.1,11,26210670
PLEKHA2,8,38758753
RN7SKP248,4,91291274
RP11-73G16.2,4,152840620
RP11-430L3.1,11,26307258
RP11-11N6.1,4,91604147
SNORA43,11,66200234
RP11-485O14.1,11,26448598
AMPH,7,38423305
CTD-3074O7.7,11,66221705
TMSB4XP8,4,91759652
RP11-73G16.1,4,152877143
LINC00662,19,28175488
RP11-1L12.3,11,27068733
RP11-37B2.1,8,90621638
XBP1,22,29190543
CTD-3074O7.5,11,66240961
OSBPL1A,18,21742008
RNA5SP169,4,152892649
RP11-18H21.1,4,153021906
RNU6-96P,7,65860178
AC004054.1,4,92029174
RP11-159H22.2,11,27493276
GLRB,4,157997209
GS1-124K5.6,7,65872275
AC018755.17,19,52102542
TMEM80,11,695428
KRT19P6,4,92806197
AC005086.4,7,101831879
RPL9P33,19,52124389
SNORA48,7,101837356
RP11-354O24.1,4,92809037
AC005088.1,7,101881601
MIR4285,7,101936369
FAM111A,11,58910221
RP11-159H22.1,11,27505397
RPL7P51,19,52152115
CTD-3074O7.12,11,66303369
TEX38,1,47134527
RP11-18H21.2,4,153067537
CTA-313A17.2,7,101967674
JADE1,4,129730779
VEPH1,3,156977531
snoU13,19,52172658
CTD-3074O7.2,11,66326337
Y_RNA,7,101977281
DYNAP,18,52254988
GNAT1,3,50229045
SPACA6P-AS,19,52188616
RNF39,HSCHR6_MHC_QBL,30027629
CTA-313A17.3,7,101977727
RNU4-39P,11,66382435
RP11-18H21.3,4,153128573
RGL2,6,33259431
MIR99B,19,52195865
NDUFB2,7,140390577
RP11-658F2.8,11,66433507
THEM6,8,143808621
CTC-479C5.12,16,67963517
MEGF10,5,126626523
RNF5,HSCHR6_MHC_QBL,32103754
MIRLET7E,19,52196039
APOBEC2,6,41021043
RN7SL12P,11,66480192
BDNF-AS,11,27528385
MIR125A,19,52196507
RP11-445P17.3,HG871_PATCH,5276550
RP11-658F2.3,11,66529046
ATXN7,3,63850233
AC079340.1,4,153149620
CTC-550M4.1,5,151875279
RN7SL446P,4,153185301
SPDYE6,7,101986192
RP11-445P17.8,HG871_PATCH,5308225
FTLP6,11,66538717
RP11-461L13.4,4,153229435
RNU7-23P,11,66687233
RP11-461L13.5,4,153239054
MIR3163,11,66701905
AC091969.1,5,151998525
RP11-461L13.3,4,153241696
U3,11,66762950
AKR1C7P,HG871_PATCH,5317365
DNAJC4,11,63997750
snoU13,11,66988379
RP11-461L13.2,4,153258807
AP003419.11,11,67119043
RAB27B,18,52385091
SPACA6P,19,52196593
MIR3140,4,153410479
ZDHHC21,9,14611069
RN7SKP239,11,67129885
MIR4453,4,153457416
COX6B1P6,8,90835776
RNU6-1238P,11,67162681
LYVE1,11,10578513
ARHGAP21,10,24872538
AP003419.16,11,67198838
PSMB10,16,67968405
RNU6-925P,8,90912949
SRMS,20,62172163
CTC-1337H24.1,11,67227339
RNU6-623P,17,58739694
GPR126,6,142622991
LINC00534,8,91233716
RP11-555K12.1,4,153472429
RN7SL606P,17,58773674
RNU6-726P,3,130811665
RNU2-64P,3,73160143
RP11-555K12.2,4,153535027
CTC-1337H24.2,11,67229181
RP11-163E9.2,7,102004609
RP11-475J5.9,5,99386063
AC111155.1,17,58804526
RP11-768B22.2,4,153587520
CCDC75P1,3,73231652
RN7SL59P,11,67309206
Y_RNA,17,58826301
RP11-369J21.11,10,81777469
RNU6-1270P,3,73290940
RP11-655M14.12,11,67372992
RP11-529H22.1,4,153717215
GPR113,2,26531041
B3GNT1,11,66112843
NOS3,7,150688083
SLC23A2,20,4833002
KRT18P61,17,58887526
RNU7-119P,3,73643091
RP11-445P17.5,HG871_PATCH,5346623
AF070718.1,8,91475555
C1DP3,10,81784493
RP11-1379J22.5,5,179084763
NFYA,6,41040684
RNA5SP273,8,91523356
AC079005.1,17,58888318
PDZRN3-AS1,3,73670864
RNA5SP339,11,27543152
DOC2GP,11,67380124
AB015752.3,8,91546839
HMGN1P28,17,58928743
RP11-163E9.1,7,102020912
RP11-587D21.1,11,27603227
LINC01030,8,91605032
ALOX5AP,13,31309645
RN7SL448P,17,58977252
RP11-451J24.1,3,73697550
MIR548O,7,102046189
NELFE,HSCHR6_MHC_SSTO,31911716
TRIM31,HSCHR6_MHC_QBL,30060243
snoU13,17,59039151
RP11-514P8.2,7,102067265
RP11-264B14.1,17,59111997
RP11-68L18.1,8,91658669
EYA2,20,45523263
HMGB3P22,5,179106033
RP11-20B7.1,3,73857752
LINC00678,11,27639173
ZCCHC24,10,81142081
Y_RNA,16,15009314
PRR3,HSCHR6_MHC_DBB,30514898
RP11-680G24.4,16,15082116
RP11-508O18.1,3,74048956
FAM174A,5,99871009
RP11-587D21.4,11,27717859
RP11-486L19.2,16,84226164
MIR1972-1,16,15104178
RP11-867G23.8,11,66115421
MIR1229,5,179225278
CBX3P1,11,27827990
RP11-680G24.5,16,15111963
RN7SKP150,5,179272832
PPP1R3F,X,49126306
MSL3P1,2,234774083
RNU6-617P,2,132360363
RP11-72I8.1,16,15188268
Y_RNA,5,179274035
SOX4,6,21593972
RFX7,15,56379478
RP11-68L18.2,8,91713310
RP11-781E19.1,3,74150500
LINC01087,2,132394598
FOXO6,1,41827594
AC093847.1,4,92949929
RPS15AP18,5,179360805
RP11-562F9.1,4,93103628
AKR1B1P2,3,74185110
CTC-563A5.4,5,179366457
RP11-562F9.2,4,93189918
GRAMD4P8,2,132404277
CER1,9,14719722
RP11-662G23.1,8,91818702
MTND1P19,4,93623496
TMCC2,1,205197304
GPM6B,X,13789150
CTC-563A5.2,5,179390615
C10ORF68,10,32832297
RP11-428L21.2,4,93743137
AC005538.5,2,234854790
Y_RNA,3,74215203
NPIPP1,16,15198178
AC093724.2,2,132480826
AC128653.1,3,74583934
NCEH1,3,172348039
CTD-2517M22.9,8,145809424
NUP43,6,150045451
GS1-251I9.3,8,92028816
AC006037.2,2,235017725
NIPA2P2,3,75133306
RP11-428L21.1,4,93754836
SLC16A6,HG747_PATCH,66263142
AF186192.1,8,145923999
RP11-1033A18.1,11,27910385
RN7SL294P,3,75231907
MIR340,5,179442303
RP11-309M7.1,2,235131482
RP11-131K17.1,4,93805814
DTX4,11,58938903
GPHA2,11,64701943
MEDAG,13,31480328
MIR4444-1,3,75263627
ATF2,2,175936978
RP11-264B14.2,17,59147217
AC103564.9,2,132534140
RP11-703C10.1,4,94239774
RXRB,HSCHR6_MHC_QBL,33090190
HNRNPA3P6,3,75263782
AC097713.5,2,235238127
RP11-39H3.1,5,179512717
AC005884.1,17,59147232
RP11-855A2.3,HG747_PATCH,65947001
RP11-406D1.2,11,28000216
RNA5SP164,4,94741322
Metazoa_SRP,HG747_PATCH,65973814
RP11-136H19.1,17,59208065
MYLKP1,3,75377700
AF186192.5,8,145925738
AC097713.3,2,235346972
AK7,14,96858448
RP11-855A2.5,HG747_PATCH,65989996
RP11-363G15.2,4,95038943
AC103564.7,2,132587374
RP11-332H18.5,17,59439029
LOC732538,HG747_PATCH,66091184
AC097713.4,2,235353234
AC117481.1,3,75395290
PSMA3P,14,60646100
HSPE1P9,2,235363801
AC145343.2,HG747_PATCH,66092162
RP11-252I14.1,5,179653378
AC103564.6,2,132591356
EDN2,1,41944446
CYP4B1,1,47223510
LINC00674,HG747_PATCH,66098024
HMGB3P15,4,95117091
AC010148.1,2,235742959
OR7E66P,3,75396984
RP11-344L21.1,11,109920253
SLC29A2,11,66129992
RP11-398J16.1,4,95290984
CDH9,5,26880709
AC109925.1,4,95371802
RP11-347E10.1,11,110225855
RP11-252I14.2,5,179684680
CTC-459F4.1,19,28248092
RP11-554D13.1,4,95596396
OR7E22P,3,75405667
AF186192.6,8,145939284
AC114814.4,2,235993466
CTB-129O4.1,5,179720245
RP11-168E14.1,4,95664951
LRRC37A16P,HG747_PATCH,66121893
AC139453.1,3,75418410
RN7SL395P,8,146010683
AC114814.2,2,236055660
HNRNPA1P60,11,110658749
RP11-710C12.1,4,96470280
CTC-573N18.1,5,179868559
AF235103.1,8,146078798
OR7E55P,3,75419599
AC114814.3,2,236086540
C1orf51,1,150254953
RN7SL701P,2,132632204
RPL30P6,4,96566103
CTC-459F4.3,19,28284371
AJ239322.3,2,132715850
AC092576.1,2,236235002
RNU6-1059P,4,96789818
AGAP1-IT1,2,236414395
TEX26,13,31506840
RNU6-34P,4,97073448
RNU6-525P,5,179871509
ZNRF3,22,29279580
AJ239322.1,2,132722304
RP11-61G24.1,4,97133430
C1DP2,10,81791600
GPR125,4,22346694
AC012305.1,2,236480575
C11orf85,11,64704989
RP11-451H23.1,5,179961184
SP6,17,45922279
TMSB10P1,2,236791006
STYXL1,7,75625656
RP11-97I14.1,11,110747718
SH3GL1P3,HG747_PATCH,66130791
IGBP1-AS2,X,69368432
RP1-156L9.1,2,132741510
RP11-147L13.7,HG747_PATCH,66148892
RNU7-127P,2,236945894
C1DP4,10,81800377
ARAP3,5,141032968
RN7SL204P,2,236980939
IGBP1-AS1,X,69383692
Y_RNA,2,237061715
ZNF385B,2,180306709
AC122714.1,5,180009445
RN7SL581P,X,69441858
TMEM254-AS1,10,81806616
RP11-147L13.8,HG747_PATCH,66186000
AC079135.1,2,237076090
RNA5SP507,X,69472892
RP11-451H23.2,5,180098892
LCAT,16,67973653
LOC440461,HG747_PATCH,66195037
RNA5SP350,11,110910822
RP13-26D14.2,X,69581336
RP11-89C3.3,11,110960594
AC007965.1,Y,28111776
AC093787.1,2,132795360
RP11-147L13.2,HG747_PATCH,66242745
RP11-803B1.2,3,75433210
RP11-89C3.4,11,110962656
DNAJC13,3,132136370
RNU1-31P,2,237119016
RP11-451H23.3,5,180111766
RNY4P23,X,69616129
TMEM87A,15,42502730
MIR610,11,28078362
RNU4-81P,X,69670729
RP11-797J4.1,11,28166454
RPS17P15,11,110976271
FAM171B,2,187558698
RN7SKP158,11,28282741
DLG3-AS1,X,69672808
LLNLF-65H9.1,19,28284396
RP11-629P16.1,2,132837863
AC104978.1,11,28308782
C6orf99,6,159290971
AC098826.4,2,132844862
LSP1P2,3,75444339
RP11-89C3.2,11,110977784
OR2AE1,7,99473610
RP11-803B1.3,3,75444555
MIR4491,11,111218482
RPL22P18,10,81885697
TEX9,15,56536207
NUAK2,1,205271187
CTC-459F4.6,19,28294446
OR2AI1P,5,180119832
RNU2-60P,11,111253817
RP11-22P4.1,11,28373654
PLAGL1,6,144261437
RP11-291O7.1,X,69892745
SLC25A1P5,19,28296331
RP11-794P6.1,11,111284967
AC098826.5,2,132890429
RP11-22P4.2,11,28538379
LINC00857,10,81967466
SP2,17,45973516
RP11-794P6.3,11,111320593
CTC-459F4.7,19,28303715
RP11-960D24.1,11,28700730
CTD-2311B13.1,14,19505871
RPS12P2,10,81975607
U3,X,70065931
RNU1-17P,5,180156586
